"","id","fruit","parameter","value","relative"
"1",1,"kale","antioxidants",305.695008080275,1.05438513227008
"2",2,"kale","polyphenols",9013.264259513,1.05581401116061
"3",3,"kale","flavor",305.695008080275,1.05438513227008
"4",4,"grape","antioxidants",183.014420738936,1.09427829886994
"5",5,"grape","polyphenols",3883.8253936034,1.13983658653059
"6",6,"grape","flavor",183.014420738936,1.09427829886994
"7",7,"lettuce","antioxidants",52.8079620047406,1.42569211096791
"8",8,"lettuce","polyphenols",614.830297018169,4.44377325560479
"9",9,"lettuce","flavor",52.8079620047406,1.42569211096791
