ID,dc1,dc2,organic,SoilOrganicMatter0to10cmPercentage,SoilOrganicMatter10to20cmPercentage,Polyphenols,Antioxidants,Dry Mass % (x 100),Soil 10-20cm Total Organic Carbon %
2993.1,1.0591917563127566,1.4828685325644528,TRUE,11.69,10.47,34.94,701.92,0.056,6.07
2993.2,1.0609149313244046,1.4849141630193117,TRUE,11.69,10.47,34.96,642.55,0.057,6.07
2993.3,1.047016857718603,1.4791830052922705,TRUE,11.69,10.47,29.68,686.88,0.053,6.07
2151,2.2578858336760987,0.053234212300139916,TRUE,5.61,3.86,191.92,10507.8,0.167,2.24
2161,3.0120893621155247,-1.717596284062779,TRUE,4.82,3.35,198.1,13040.8,0.209,1.95
2155,2.851145310273555,-0.2756446367825447,TRUE,5.13,3.72,152.82,11662,0.197,2.16
2109,2.283232282438135,1.7686786218741872,FALSE,7.13,11.23,6.4,25.58,0.105,6.51
2108,1.5779555159072913,-0.539138531176377,FALSE,11.47,10.01,5.76,14.56,0.109,5.81
2111,2.8058427852671315,1.2504373847546049,FALSE,7.53,13.83,5.57,19.95,0.105,8.02
2110,0.8174168955193437,-0.9065450052216875,FALSE,13.19,7.06,5.98,12.17,0.118,4.1
2112,0.9049557285259766,1.7628975480542977,FALSE,12.58,8.23,8.1,32.47,0.105,4.77
2113,0.4151315308840111,-0.8835289255800944,FALSE,16.94,8.37,9.24,44.06,0.1,4.86
2144,0.8872441922290477,1.4884521641955075,TRUE,4.28,2.61,21.56,1899.07,0.089,1.51
2142,0.9884254801338841,-1.193069076060965,TRUE,14.66,9.11,22.11,2417.51,0.083,5.29
3217,0.3364330086887648,-0.4939857521828799,FALSE,5.98,2.53,37.9,550.62,0.07,1.47
3218,0.2947610322704648,0.04073777158970415,FALSE,5.8,2.74,34.03,863.42,0.055,1.59
3219,0.45366025973655866,-0.2869030117648208,FALSE,6.16,3.1,30.36,745.31,0.068,1.8
3220,0.3746800040771987,0.7205528611161753,FALSE,6.92,3.14,21.16,995.92,0.068,1.82
3221,0.5601287281373217,-0.7003749107690851,FALSE,5.07,2.46,19.1,1069.25,0.068,1.43
3222,0.4539972249964741,-0.1715620763711172,FALSE,4.35,2.17,52.7,841.16,0.07,1.26
3223,0.3619522162948172,1.560769878522251,FALSE,4.73,2.49,26.46,1018.65,0.055,1.44
3224,0.23339778357281205,0.6088337818800369,FALSE,6.39,2.45,29.22,1147.49,0.061,1.42
3225,0.9427180753475106,-0.7307952397493978,FALSE,4.01,2.46,29.98,3143.14,0.07,1.43
3214,0.5793012915854661,2.4467027888713915,FALSE,3.77,2.65,54.11,863.23,0.077,1.53
